1001,1,1278,Buffy,Summers,Barista,No,8181112222,buffysum@vmail.com,11/12/1999
1002,2,1279,Xander,Harris,Barista,Yes,8181113333,xanderhar@vmail.com,11/11/1999
1003,3,1324,William,Pratt,Server,No,8181113333,williampra@vmail.com,11/9/1999
1004,4,1325,Willow,Rosenberg,Barista,Yes,8181114444,willowros@vmail.com,11/15/1999
1005,5,1326,Rupert,Giles,Manager,Yes,8181115555,rupertgil@vmail.com,10/12/1999
1006,6,1327,Anya,Vengeance,Server,No,8181116666,anyaven@vmail.com,11/18/1999
1007,7,1328,Dawn,Summers,Server,Yes,8181117777,dawnsum@vmail.com,11/8/1999
1008,8,1329,Joyce,Summers,Manager,Yes,8181118888,joycesum@vmail.com,11/3/1999
1009,9,1330,Cordelia,Chase,Barista,No,8181119999,cordeliacha@vmail.com,11/19/1999
1010,10,1331,Tara,Maclay,Server,Yes,8182221111,taramac@vmail.com,11/2/1999
1011,11,1332,Oz,Wolf,Busser,No,8182222222,ozwol@vmail.com,11/3/1999
1012,12,1333,Riley,Finn,Assistant Manager,Yes,8182223333,rileyfin@vmail.com,11/14/1999
1013,13,1334,Angel,Vamp,Server,No,8182224444,angelvam@vmail.com,11/12/1999
1014,14,1335,Jonathan,Levinson,Busser,Yes,8182225555,jonathanlev@vmail.com,11/12/1999
1015,15,1336,Andrew,Wells,Server,Yes,8182226666,andrewwel@vmail.com,11/12/1999
1016,16,1337,Faith,Slayer,Barista,No,8182227777,faithsla@vmail.com,11/12/1999
1017,17,1338,Drusilla,Vamp,Server,No,8182228888,drusillavam@vmail.com,11/12/1999
1018,18,1339,Harmony,Kendall,Hostess,Yes,8182229999,harmonyken@vmail.com,11/12/1999
1019,19,1340,Robin,Wood,Assistant Manager,Yes,8183331111,robinwoo@vmail.com,11/12/1999
1020,20,1341,Jenny,Calendar,Server,Yes,8183332222,jennycal@vmail.com,11/12/1999
